Protein Code,Docking Score
CHEMBL4547571,-8.67
CHEMBL5291180,-8.582
CHEMBL5289815,-8.425
CHEMBL4580116,-8.348
CHEMBL5275681,-8.341
CHEMBL5288117,-8.336
CHEMBL4584637,-8.297
CHEMBL5267738,-8.284
CHEMBL5268562,-8.08
CHEMBL4580624,-8.079
CHEMBL4585250,-8.047
CHEMBL4541348,-8.04
CHEMBL5279532,-7.961
CHEMBL5283911,-7.947
CHEMBL4435700,-7.911
CHEMBL5290159,-7.885
CHEMBL5268413,-7.863
CHEMBL5281871,-7.822
CHEMBL4464383,-7.752
CHEMBL4469887,-7.734
CHEMBL5268916,-7.654
CHEMBL4583618,-7.649
CHEMBL5287055,-7.628
CHEMBL4456048,-7.614
CHEMBL5271522,-7.573
CHEMBL5271729,-7.563
CHEMBL5273928,-7.559
CHEMBL5276443,-7.525
CHEMBL4533538,-7.522
CHEMBL4463176,-7.508
CHEMBL4439772,-7.445
CHEMBL4446167,-7.4
CHEMBL5288124,-7.4
CHEMBL4459537,-7.378
CHEMBL5266578,-7.276
CHEMBL5283956,-7.262
CHEMBL4474908,-7.166
CHEMBL5266230,-7.163
CHEMBL5276347,-7.125
CHEMBL5274574,-7.058
CHEMBL4458857,-7.036
CHEMBL4517402,-7.008
CHEMBL418052,-6.987
CHEMBL2431997,-6.869
CHEMBL4453557,-6.861
CHEMBL5276604,-6.84
CHEMBL4513615,-6.838
CHEMBL5270264,-6.838
CHEMBL5277663,-6.818
CHEMBL4459299,-6.793
CHEMBL4555967,-6.781
CHEMBL5270195,-6.74
CHEMBL4448124,-6.605
CHEMBL5269867,-6.555
CHEMBL4460223,-6.547
CHEMBL5287635,-6.54
CHEMBL4544475,-6.5
CHEMBL5268458,-6.492
CHEMBL5271824,-6.458
CHEMBL1435541,-6.446
CHEMBL4456259,-6.434
CHEMBL5290255,-6.312
CHEMBL4564647,-6.199
CHEMBL4578960,-6.189
CHEMBL5283966,-6.09
CHEMBL1324108,-5.892
CHEMBL332444,-5.728
CHEMBL5281955,-5.455
CHEMBL532,-3.738
