Protein Code,Docking Score
CHEMBL4547571,-8.919
CHEMBL5291180,-8.812
CHEMBL5289815,-8.805
CHEMBL4580116,-8.71
CHEMBL4584637,-8.706
CHEMBL5288117,-8.687
CHEMBL4446167,-8.606
CHEMBL5275681,-8.58
CHEMBL5267738,-8.57
CHEMBL4464383,-8.421
CHEMBL5268413,-8.395
CHEMBL4580624,-8.377
CHEMBL5268562,-8.376
CHEMBL5283911,-8.341
CHEMBL5279532,-8.309
CHEMBL4541348,-8.238
CHEMBL5281871,-8.193
CHEMBL4435700,-8.105
CHEMBL5290159,-8.096
CHEMBL5273928,-8.053
CHEMBL5268916,-7.964
CHEMBL5271522,-7.929
CHEMBL4583618,-7.893
CHEMBL5276443,-7.883
CHEMBL5287055,-7.867
CHEMBL4585250,-7.803
CHEMBL5270195,-7.728
CHEMBL418052,-7.718
CHEMBL4439772,-7.696
CHEMBL5266578,-7.685
CHEMBL5266230,-7.596
CHEMBL5283956,-7.559
CHEMBL5277663,-7.553
CHEMBL4533538,-7.546
CHEMBL4463176,-7.521
CHEMBL5288124,-7.438
CHEMBL5274574,-7.364
CHEMBL4459537,-7.354
CHEMBL4469887,-7.34
CHEMBL5270264,-7.339
CHEMBL5271729,-7.301
CHEMBL4555967,-7.3
CHEMBL4448124,-7.293
CHEMBL4453557,-7.265
CHEMBL4564647,-7.17
CHEMBL4517402,-7.087
CHEMBL5276347,-7.068
CHEMBL4474908,-7.064
CHEMBL1435541,-7.017
CHEMBL5268458,-7.008
CHEMBL4456048,-6.99
CHEMBL4458857,-6.981
CHEMBL5276604,-6.972
CHEMBL5287635,-6.905
CHEMBL5271824,-6.895
CHEMBL5290255,-6.881
CHEMBL2431997,-6.854
CHEMBL4513615,-6.779
CHEMBL4459299,-6.698
CHEMBL4460223,-6.625
CHEMBL5269867,-6.55
CHEMBL1324108,-6.481
CHEMBL4578960,-6.458
CHEMBL5283966,-6.273
CHEMBL332444,-6.196
CHEMBL4456259,-6.186
CHEMBL5281955,-5.926
CHEMBL4544475,-5.414
CHEMBL532,-3.46
