ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Np Likeness Score,Molecular Species,Molecular Formula,Smiles,Inchi Key,Inchi,Withdrawn Flag,Orphan,Records Key,Records Name,Unnamed: 38
CHEMBL5290159,,,,,256.31,1,1,1.25,94.03,4,3,0,5,N,0.75,,9.28,0.52,-1.34,2,MOL,-1,19,5,5,0,256.1324,-1.2,BASE,C14H16N4O,NCc1ccc(CNc2ccc(C(N)=O)cn2)cc1,GOGLJESHQNHTBF-UHFFFAOYSA-N,"InChI=1S/C14H16N4O/c15-7-10-1-3-11(4-2-10)8-17-13-6-5-12(9-18-13)14(16)19/h1-6,9H,7-8,15H2,(H2,16,19)(H,17,18)",False,-1,['14'],['6-((4-(aminomethyl)benzyl)amino)nicotinamide'],
CHEMBL5289815,,,,,311.39,4,5,1.2,83.28,5,3,0,5,N,0.77,,8.88,0.97,-0.52,2,MOL,-1,23,6,4,0,311.1746,-1.58,BASE,C17H21N5O,NC(=O)c1ccc(NCc2cccc(N3CCNCC3)c2)nc1,JNTHNCJDQUJFLH-UHFFFAOYSA-N,"InChI=1S/C17H21N5O/c18-17(23)14-4-5-16(21-12-14)20-11-13-2-1-3-15(10-13)22-8-6-19-7-9-22/h1-5,10,12,19H,6-9,11H2,(H2,18,23)(H,20,21)",False,-1,['15'],['6-((3-(piperazin-1-yl)benzyl)amino)nicotinamide'],
CHEMBL5275681,,,,,298.39,17,18,2.03,94.03,4,3,0,6,N,0.76,,9.3,1.56,-0.33,2,MOL,-1,22,5,5,0,298.1794,-1.32,BASE,C17H22N4O,CC(C)(CNc1ccc(C(N)=O)cn1)c1cccc(CN)c1,HCKZSLBARGVRKK-UHFFFAOYSA-N,"InChI=1S/C17H22N4O/c1-17(2,14-5-3-4-12(8-14)9-18)11-21-15-7-6-13(10-20-15)16(19)22/h3-8,10H,9,11,18H2,1-2H3,(H2,19,22)(H,20,21)",False,-1,['23'],['6-((2-(3-(aminomethyl)phenyl)-2-methylpropyl)amino)nicotinamide'],
CHEMBL5288117,,,,,339.44,4,5,1.95,92.07,5,4,0,7,N,0.62,,9.19,1.43,-0.36,2,MOL,-1,25,6,5,0,339.2059,-1.3,BASE,C19H25N5O,CC(C)(CNc1ccc(C(N)=O)cn1)c1cccc(NC2CNC2)c1,FIMPWUACHDEOHT-UHFFFAOYSA-N,"InChI=1S/C19H25N5O/c1-19(2,12-23-17-7-6-13(9-22-17)18(20)25)14-4-3-5-15(8-14)24-16-10-21-11-16/h3-9,16,21,24H,10-12H2,1-2H3,(H2,20,25)(H,22,23)",False,-1,['25'],['6-((2-(3-(azetidin-3-ylamino)phenyl)-2-methylpropyl)amino)nicotinamide'],
CHEMBL5268413,,,,,279.34,1,1,2.25,74.04,3,2,0,4,N,0.77,,9.31,2.0,0.11,3,MOL,-1,21,4,4,0,279.1372,-1.07,BASE,C17H17N3O,NCc1ccc(Cn2ccc3cc(C(N)=O)ccc32)cc1,GFPWNKIPYDKLPA-UHFFFAOYSA-N,"InChI=1S/C17H17N3O/c18-10-12-1-3-13(4-2-12)11-20-8-7-14-9-15(17(19)21)5-6-16(14)20/h1-9H,10-11,18H2,(H2,19,21)",False,-1,['26'],['1-(4-(aminomethyl)benzyl)-1H-indole-5-carboxamide'],
CHEMBL5291180,,,,,353.47,4,5,1.98,83.28,5,3,0,6,N,0.74,,8.89,2.0,0.51,2,MOL,-1,26,6,4,0,353.2216,-1.51,BASE,C20H27N5O,CC(C)(CNc1ccc(C(N)=O)cn1)c1cccc(N2CCNCC2)c1,ZMCWXOFYJNAJIR-UHFFFAOYSA-N,"InChI=1S/C20H27N5O/c1-20(2,14-24-18-7-6-15(13-23-18)19(21)26)16-4-3-5-17(12-16)25-10-8-22-9-11-25/h3-7,12-13,22H,8-11,14H2,1-2H3,(H2,21,26)(H,23,24)",False,-1,['24'],['6-((2-methyl-2-(3-(piperazin-1-yl)phenyl)propyl)amino)nicotinamide'],
CHEMBL5283911,,,,,241.29,1,1,2.35,68.01,3,2,0,4,N,0.86,,5.01,1.81,1.81,2,MOL,-1,18,4,3,0,241.1215,-1.46,NEUTRAL,C14H15N3O,C[C@H](Nc1ccc(C(N)=O)cn1)c1ccccc1,RLUNHPSPMZRKOH-JTQLQIEISA-N,"InChI=1S/C14H15N3O/c1-10(11-5-3-2-4-6-11)17-13-8-7-12(9-16-13)14(15)18/h2-10H,1H3,(H2,15,18)(H,16,17)/t10-/m0/s1",False,-1,['17'],['(S)-6-((1-phenylethyl)amino)nicotinamide'],
CHEMBL5267738,,,,,379.39,1,1,2.13,83.28,5,3,0,5,N,0.74,,5.07,1.98,1.98,2,MOL,-1,27,6,4,0,379.162,-1.46,NEUTRAL,C18H20F3N5O,NC(=O)c1ccc(NCc2cccc(N3CCNC(C(F)(F)F)C3)c2)nc1,YWYXAMUEUIQTTJ-UHFFFAOYSA-N,"InChI=1S/C18H20F3N5O/c19-18(20,21)15-11-26(7-6-23-15)14-3-1-2-12(8-14)9-24-16-5-4-13(10-25-16)17(22)27/h1-5,8,10,15,23H,6-7,9,11H2,(H2,22,27)(H,24,25)",False,-1,['16'],['6-((3-(3-(trifluoromethyl)piperazin-1-yl)benzyl)amino)nicotinamide'],
CHEMBL5281871,,,,,280.33,1,1,1.64,86.93,4,2,0,4,N,0.76,,9.31,1.15,-0.74,3,MOL,-1,21,5,4,0,280.1324,-1.1,BASE,C16H16N4O,NCc1ccc(Cn2ccc3cc(C(N)=O)cnc32)cc1,MIOHMKDSCXKJEP-UHFFFAOYSA-N,"InChI=1S/C16H16N4O/c17-8-11-1-3-12(4-2-11)10-20-6-5-13-7-14(15(18)21)9-19-16(13)20/h1-7,9H,8,10,17H2,(H2,18,21)",False,-1,['27'],"['1-(4-(aminomethyl)benzyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide']",
CHEMBL5268562,,,,,337.43,4,5,1.69,83.28,5,3,0,5,N,0.77,,8.88,1.36,-0.13,2,MOL,-1,25,6,4,0,337.1903,-1.18,BASE,C19H23N5O,NC(=O)c1ccc(NC2(c3cccc(N4CCNCC4)c3)CC2)nc1,QWAKAIXHRUUFTN-UHFFFAOYSA-N,"InChI=1S/C19H23N5O/c20-18(25)14-4-5-17(22-13-14)23-19(6-7-19)15-2-1-3-16(12-15)24-10-8-21-9-11-24/h1-5,12-13,21H,6-11H2,(H2,20,25)(H,22,23)",False,-1,['21'],['6-((1-(3-(piperazin-1-yl)phenyl)cyclopropyl)amino)nicotinamide'],
