Protein Code,Docking Score
4810.pdbqt,-10.387
3946.pdbqt,-10.172
2416.pdbqt,-10.033
3246.pdbqt,-9.993
3732.pdbqt,-9.955
6738.pdbqt,-9.945
6954.pdbqt,-9.938
5566.pdbqt,-9.932
1122.pdbqt,-9.928
3664.pdbqt,-9.914
4162.pdbqt,-9.911
4252.pdbqt,-9.867
4348.pdbqt,-9.856
4632.pdbqt,-9.845
1390.pdbqt,-9.839
3388.pdbqt,-9.838
1450.pdbqt,-9.831
1678.pdbqt,-9.824
2076.pdbqt,-9.817
5392.pdbqt,-9.81
8032.pdbqt,-9.8
483.pdbqt,-9.797
3016.pdbqt,-9.785
3964.pdbqt,-9.784
7978.pdbqt,-9.77
7926.pdbqt,-9.766
7120.pdbqt,-9.755
4650.pdbqt,-9.751
3898.pdbqt,-9.749
7822.pdbqt,-9.739
118.pdbqt,-9.731
787.pdbqt,-9.728
6256.pdbqt,-9.724
4720.pdbqt,-9.721
5318.pdbqt,-9.717
4924.pdbqt,-9.714
9006.pdbqt,-9.705
760.pdbqt,-9.684
5044.pdbqt,-9.684
1418.pdbqt,-9.679
6544.pdbqt,-9.676
1900.pdbqt,-9.66
6286.pdbqt,-9.655
3432.pdbqt,-9.653
6736.pdbqt,-9.64
4882.pdbqt,-9.626
7246.pdbqt,-9.625
8506.pdbqt,-9.624
1216.pdbqt,-9.622
4360.pdbqt,-9.622
2112.pdbqt,-9.616
7042.pdbqt,-9.607
258.pdbqt,-9.607
6234.pdbqt,-9.603
2740.pdbqt,-9.598
5374.pdbqt,-9.598
5856.pdbqt,-9.598
3754.pdbqt,-9.597
8988.pdbqt,-9.596
8752.pdbqt,-9.595
3928.pdbqt,-9.591
2344.pdbqt,-9.577
3480.pdbqt,-9.566
5386.pdbqt,-9.566
2494.pdbqt,-9.566
7868.pdbqt,-9.565
4166.pdbqt,-9.558
6556.pdbqt,-9.556
9060.pdbqt,-9.554
8124.pdbqt,-9.549
6130.pdbqt,-9.543
4794.pdbqt,-9.542
3394.pdbqt,-9.542
3134.pdbqt,-9.542
4778.pdbqt,-9.541
2998.pdbqt,-9.539
6484.pdbqt,-9.539
8198.pdbqt,-9.538
4142.pdbqt,-9.537
8088.pdbqt,-9.531
9094.pdbqt,-9.531
1813.pdbqt,-9.53
1750.pdbqt,-9.529
2584.pdbqt,-9.523
4492.pdbqt,-9.52
8068.pdbqt,-9.515
3534.pdbqt,-9.511
3570.pdbqt,-9.51
4018.pdbqt,-9.505
8358.pdbqt,-9.504
7456.pdbqt,-9.504
4244.pdbqt,-9.501
2373.pdbqt,-9.5
3874.pdbqt,-9.491
244.pdbqt,-9.487
4708.pdbqt,-9.484
4074.pdbqt,-9.482
2560.pdbqt,-9.482
1954.pdbqt,-9.481
7906.pdbqt,-9.478
4600.pdbqt,-9.47
7134.pdbqt,-9.468
5060.pdbqt,-9.468
4078.pdbqt,-9.462
2116.pdbqt,-9.458
8383.pdbqt,-9.453
9132.pdbqt,-9.449
7336.pdbqt,-9.446
6526.pdbqt,-9.445
2263.pdbqt,-9.44
1382.pdbqt,-9.439
3862.pdbqt,-9.434
8574.pdbqt,-9.434
7044.pdbqt,-9.434
7024.pdbqt,-9.433
4996.pdbqt,-9.433
382.pdbqt,-9.429
8484.pdbqt,-9.428
6756.pdbqt,-9.425
5836.pdbqt,-9.424
4780.pdbqt,-9.424
5158.pdbqt,-9.424
6126.pdbqt,-9.421
7238.pdbqt,-9.42
5674.pdbqt,-9.42
6558.pdbqt,-9.411
3790.pdbqt,-9.408
8538.pdbqt,-9.408
7744.pdbqt,-9.407
5104.pdbqt,-9.402
8938.pdbqt,-9.4
7530.pdbqt,-9.399
1220.pdbqt,-9.398
7996.pdbqt,-9.398
7674.pdbqt,-9.398
6778.pdbqt,-9.395
3194.pdbqt,-9.392
2949.pdbqt,-9.389
7476.pdbqt,-9.387
8450.pdbqt,-9.387
2512.pdbqt,-9.385
5278.pdbqt,-9.384
3088.pdbqt,-9.381
8286.pdbqt,-9.381
7958.pdbqt,-9.381
2686.pdbqt,-9.379
4684.pdbqt,-9.378
4324.pdbqt,-9.372
6122.pdbqt,-9.372
7010.pdbqt,-9.367
1797.pdbqt,-9.365
814.pdbqt,-9.359
2962.pdbqt,-9.358
1545.pdbqt,-9.354
2278.pdbqt,-9.354
848.pdbqt,-9.353
4562.pdbqt,-9.35
1131.pdbqt,-9.35
3291.pdbqt,-9.349
6464.pdbqt,-9.348
5980.pdbqt,-9.348
8038.pdbqt,-9.348
4474.pdbqt,-9.342
9168.pdbqt,-9.342
2850.pdbqt,-9.34
8570.pdbqt,-9.339
3772.pdbqt,-9.338
8007.pdbqt,-9.337
4294.pdbqt,-9.337
7440.pdbqt,-9.333
1630.pdbqt,-9.333
8254.pdbqt,-9.331
586.pdbqt,-9.331
4902.pdbqt,-9.331
3052.pdbqt,-9.327
2450.pdbqt,-9.326
8754.pdbqt,-9.325
3372.pdbqt,-9.325
5086.pdbqt,-9.323
4290.pdbqt,-9.321
3106.pdbqt,-9.32
8812.pdbqt,-9.317
5928.pdbqt,-9.316
6436.pdbqt,-9.316
2462.pdbqt,-9.314
1635.pdbqt,-9.313
676.pdbqt,-9.303
7818.pdbqt,-9.302
2656.pdbqt,-9.302
5172.pdbqt,-9.301
2602.pdbqt,-9.3
4020.pdbqt,-9.3
8770.pdbqt,-9.3
2193.pdbqt,-9.299
9028.pdbqt,-9.299
9154.pdbqt,-9.297
4504.pdbqt,-9.297
3138.pdbqt,-9.295
568.pdbqt,-9.294
5908.pdbqt,-9.291
5440.pdbqt,-9.29
6684.pdbqt,-9.288
4168.pdbqt,-9.287
5590.pdbqt,-9.286
7472.pdbqt,-9.285
7750.pdbqt,-9.285
3008.pdbqt,-9.285
5388.pdbqt,-9.284
2522.pdbqt,-9.284
2551.pdbqt,-9.283
5552.pdbqt,-9.283
2664.pdbqt,-9.283
3550.pdbqt,-9.282
6724.pdbqt,-9.28
546.pdbqt,-9.278
1128.pdbqt,-9.277
7942.pdbqt,-9.276
6194.pdbqt,-9.275
8086.pdbqt,-9.275
6146.pdbqt,-9.275
1054.pdbqt,-9.275
3700.pdbqt,-9.275
7852.pdbqt,-9.273
2526.pdbqt,-9.272
6596.pdbqt,-9.27
2668.pdbqt,-9.27
5554.pdbqt,-9.27
5140.pdbqt,-9.269
4312.pdbqt,-9.269
8462.pdbqt,-9.269
550.pdbqt,-9.268
9136.pdbqt,-9.268
5716.pdbqt,-9.268
1896.pdbqt,-9.265
1738.pdbqt,-9.264
2164.pdbqt,-9.264
3610.pdbqt,-9.263
6176.pdbqt,-9.261
32.pdbqt,-9.261
8614.pdbqt,-9.26
3404.pdbqt,-9.26
9116.pdbqt,-9.259
6742.pdbqt,-9.257
524.pdbqt,-9.257
6878.pdbqt,-9.255
3696.pdbqt,-9.253
8174.pdbqt,-9.251
226.pdbqt,-9.25
5068.pdbqt,-9.25
724.pdbqt,-9.25
6292.pdbqt,-9.25
2188.pdbqt,-9.249
4438.pdbqt,-9.247
5906.pdbqt,-9.247
303.pdbqt,-9.247
2818.pdbqt,-9.244
6576.pdbqt,-9.244
5352.pdbqt,-9.243
3444.pdbqt,-9.241
2704.pdbqt,-9.241
1005.pdbqt,-9.24
4513.pdbqt,-9.24
5150.pdbqt,-9.239
1804.pdbqt,-9.239
6340.pdbqt,-9.237
8853.pdbqt,-9.235
4299.pdbqt,-9.234
7782.pdbqt,-9.234
3930.pdbqt,-9.233
8968.pdbqt,-9.231
5396.pdbqt,-9.231
6238.pdbqt,-9.23
6338.pdbqt,-9.23
1342.pdbqt,-9.229
7836.pdbqt,-9.227
6004.pdbqt,-9.226
7534.pdbqt,-9.226
6160.pdbqt,-9.223
4834.pdbqt,-9.223
4756.pdbqt,-9.223
5536.pdbqt,-9.222
6840.pdbqt,-9.221
1666.pdbqt,-9.221
6326.pdbqt,-9.22
1674.pdbqt,-9.219
2290.pdbqt,-9.219
2440.pdbqt,-9.219
2756.pdbqt,-9.218
4272.pdbqt,-9.218
8302.pdbqt,-9.218
123.pdbqt,-9.218
3836.pdbqt,-9.217
8156.pdbqt,-9.217
424.pdbqt,-9.216
928.pdbqt,-9.216
1444.pdbqt,-9.216
4276.pdbqt,-9.214
1118.pdbqt,-9.213
90.pdbqt,-9.213
6616.pdbqt,-9.212
3182.pdbqt,-9.212
1716.pdbqt,-9.209
1774.pdbqt,-9.208
2758.pdbqt,-9.206
8210.pdbqt,-9.204
8542.pdbqt,-9.204
5782.pdbqt,-9.204
1028.pdbqt,-9.203
1648.pdbqt,-9.203
1777.pdbqt,-9.203
1306.pdbqt,-9.202
4992.pdbqt,-9.201
4378.pdbqt,-9.199
195.pdbqt,-9.199
1940.pdbqt,-9.198
3426.pdbqt,-9.198
7426.pdbqt,-9.196
7764.pdbqt,-9.193
5080.pdbqt,-9.192
2206.pdbqt,-9.191
7112.pdbqt,-9.191
7858.pdbqt,-9.191
3970.pdbqt,-9.191
393.pdbqt,-9.187
5764.pdbqt,-9.187
5834.pdbqt,-9.187
5962.pdbqt,-9.186
3806.pdbqt,-9.186
2530.pdbqt,-9.186
7916.pdbqt,-9.186
434.pdbqt,-9.184
7418.pdbqt,-9.182
4306.pdbqt,-9.181
6928.pdbqt,-9.18
8722.pdbqt,-9.18
1432.pdbqt,-9.179
4724.pdbqt,-9.179
5872.pdbqt,-9.179
6902.pdbqt,-9.178
3710.pdbqt,-9.176
5840.pdbqt,-9.175
445.pdbqt,-9.174
9078.pdbqt,-9.173
5798.pdbqt,-9.172
6154.pdbqt,-9.171
5136.pdbqt,-9.171
4526.pdbqt,-9.169
4528.pdbqt,-9.168
3232.pdbqt,-9.168
8986.pdbqt,-9.168
2566.pdbqt,-9.166
6324.pdbqt,-9.166
6068.pdbqt,-9.166
4612.pdbqt,-9.166
6419.pdbqt,-9.164
5010.pdbqt,-9.164
2496.pdbqt,-9.162
3466.pdbqt,-9.162
8178.pdbqt,-9.162
8554.pdbqt,-9.161
2762.pdbqt,-9.161
8671.pdbqt,-9.157
5310.pdbqt,-9.156
5012.pdbqt,-9.156
6812.pdbqt,-9.156
2890.pdbqt,-9.156
4654.pdbqt,-9.155
3060.pdbqt,-9.154
8344.pdbqt,-9.153
1972.pdbqt,-9.152
2398.pdbqt,-9.152
5572.pdbqt,-9.152
6668.pdbqt,-9.151
4850.pdbqt,-9.149
1273.pdbqt,-9.149
3820.pdbqt,-9.147
2732.pdbqt,-9.146
2650.pdbqt,-9.145
1714.pdbqt,-9.145
6164.pdbqt,-9.145
5342.pdbqt,-9.144
7728.pdbqt,-9.143
6410.pdbqt,-9.143
1176.pdbqt,-9.142
1838.pdbqt,-9.137
6376.pdbqt,-9.136
5084.pdbqt,-9.134
4240.pdbqt,-9.133
6772.pdbqt,-9.13
9110.pdbqt,-9.129
2166.pdbqt,-9.128
6180.pdbqt,-9.128
6626.pdbqt,-9.125
1534.pdbqt,-9.124
4130.pdbqt,-9.123
2872.pdbqt,-9.123
1498.pdbqt,-9.123
748.pdbqt,-9.122
1684.pdbqt,-9.121
6522.pdbqt,-9.117
8376.pdbqt,-9.116
7990.pdbqt,-9.115
4748.pdbqt,-9.114
112.pdbqt,-9.114
2173.pdbqt,-9.113
6666.pdbqt,-9.113
2652.pdbqt,-9.113
4146.pdbqt,-9.112
658.pdbqt,-9.112
1730.pdbqt,-9.111
7170.pdbqt,-9.11
7912.pdbqt,-9.109
2371.pdbqt,-9.109
4582.pdbqt,-9.108
6644.pdbqt,-9.108
8180.pdbqt,-9.108
5037.pdbqt,-9.107
7260.pdbqt,-9.107
3158.pdbqt,-9.106
5480.pdbqt,-9.106
1936.pdbqt,-9.105
8586.pdbqt,-9.105
6760.pdbqt,-9.103
5116.pdbqt,-9.103
7066.pdbqt,-9.103
6922.pdbqt,-9.103
3934.pdbqt,-9.1
8744.pdbqt,-9.099
899.pdbqt,-9.097
5662.pdbqt,-9.096
2814.pdbqt,-9.093
8776.pdbqt,-9.092
6754.pdbqt,-9.091
4760.pdbqt,-9.09
4340.pdbqt,-9.09
1764.pdbqt,-9.09
5314.pdbqt,-9.089
5004.pdbqt,-9.087
3012.pdbqt,-9.087
788.pdbqt,-9.086
1457.pdbqt,-9.086
6088.pdbqt,-9.084
7148.pdbqt,-9.083
2710.pdbqt,-9.083
3621.pdbqt,-9.083
4200.pdbqt,-9.082
7606.pdbqt,-9.082
8644.pdbqt,-9.082
6452.pdbqt,-9.082
4977.pdbqt,-9.081
8810.pdbqt,-9.08
1552.pdbqt,-9.08
6500.pdbqt,-9.08
6158.pdbqt,-9.08
1086.pdbqt,-9.079
8866.pdbqt,-9.078
2895.pdbqt,-9.078
3278.pdbqt,-9.077
5730.pdbqt,-9.077
5528.pdbqt,-9.076
4596.pdbqt,-9.075
8002.pdbqt,-9.075
7368.pdbqt,-9.074
3263.pdbqt,-9.073
8028.pdbqt,-9.071
3714.pdbqt,-9.07
8916.pdbqt,-9.07
1055.pdbqt,-9.07
7528.pdbqt,-9.07
6520.pdbqt,-9.069
3538.pdbqt,-9.069
2726.pdbqt,-9.068
5683.pdbqt,-9.068
5586.pdbqt,-9.067
6387.pdbqt,-9.066
4310.pdbqt,-9.066
670.pdbqt,-9.064
2796.pdbqt,-9.063
3604.pdbqt,-9.062
7071.pdbqt,-9.062
4394.pdbqt,-9.061
1576.pdbqt,-9.061
7820.pdbqt,-9.06
6698.pdbqt,-9.059
7344.pdbqt,-9.057
1610.pdbqt,-9.057
94.pdbqt,-9.057
988.pdbqt,-9.057
4740.pdbqt,-9.057
7488.pdbqt,-9.055
5516.pdbqt,-9.055
5033.pdbqt,-9.055
4160.pdbqt,-9.055
1334.pdbqt,-9.055
2364.pdbqt,-9.054
3302.pdbqt,-9.053
8228.pdbqt,-9.052
