Name;SMILES
7440;"[C](C1=[C][C]=[C]C(=[C]1)C1=[C][C]=[C]C(=C1F)F)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
[C](C1=[C]C(=[C][C]=[C]1)C1=C(C(=[C][C]=[C]1)F)F)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
[C](C1=[C]C(=[C][C]=[C]1)C1=[C][C]=[C]C(=C1F)F)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
[C](C1=[C]C(=[C][C]=[C]1)C1=[C][C]=[C]C(=C1F)F)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
[C](C1=[C][C]=[C]C(=[C]1)C1=[C][C]=[C]C(=C1F)F)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
[C](C1=[C]C(=[C][C]=[C]1)C1=[C][C]=[C]C(=C1F)F)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
[C](C1=[C]C(=[C][C]=[C]1)C1=[C][C]=[C]C(=C1F)F)[C]NC1=[C][C]=C([C]=N1)C(=O)N	=
[C](C1=[C]C(=[C][C]=[C]1)C1=C(C(=[C][C]=[C]1)F)F)[C]NC1=[C][C]=C([C]=N1)C(=O)N	=
[C](C1=[C]C(=[C][C]=[C]1)C1=[C][C]=[C]C(=C1F)F)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	="
8124;"C(F)(F)(C1=[C]C(=[C][C]=[C]1)C1=[C][C]=[C]N=[C]1)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
C(F)(F)(C1=[C][C]=[C]C(=[C]1)C1=[C][C]=[C]N=[C]1)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
C(F)(F)(C1=[C][C]=[C]C(=[C]1)C1=[C][C]=[C]N=[C]1)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
C(F)(F)(C1=[C]C(=[C][C]=[C]1)C1=[C][C]=[C]N=[C]1)[C]NC1=[C][C]=C([C]=N1)C(=O)N	=
C(F)(F)(C1=[C]C(=[C][C]=[C]1)C1=[C][C]=[C]N=[C]1)[C]NC1=[C][C]=C([C]=N1)C(=O)N	=
C(F)(F)(C1=[C]C(=[C][C]=[C]1)C1=[C][C]=[C]N=[C]1)[C]NC1=[C][C]=C([C]=N1)C(=O)N	=
C(F)(F)(C1=[C]C(=[C][C]=[C]1)C1=[C][C]=[C]N=[C]1)[C]NC1=[C][C]=C([C]=N1)C(=O)N	=
C(F)(F)(C1=[C][C]=[C]C(=[C]1)C1=[C]N=[C][C]=[C]1)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
C(F)(F)(C1=[C]C(=[C][C]=[C]1)C1=[C]N=[C][C]=[C]1)[C]NC1=[C][C]=C([C]=N1)C(=O)N	="
4160;"[C](C1=[C]C(=[C][C]=N1)C1=[C]C(=[C][C]=[C]1)F)OC1=[C][C]=C([C]=[C]1)C(=O)N	=
[C](C1=[C]C(=[C][C]=N1)C1=[C][C]=[C]C(=[C]1)F)OC1=[C][C]=C([C]=[C]1)C(=O)N	=
[C](C1=[C]C(=[C][C]=N1)C1=[C]C(=[C][C]=[C]1)F)OC1=[C][C]=C([C]=[C]1)C(=O)N	=
[C](C1=N[C]=[C]C(=[C]1)C1=[C][C]=[C]C(=[C]1)F)OC1=[C][C]=C([C]=[C]1)C(=O)N	=
[C](C1=[C]C(=[C][C]=N1)C1=[C]C(=[C][C]=[C]1)F)OC1=[C][C]=C([C]=[C]1)C(=O)N	=
[C](C1=[C]C(=[C][C]=N1)C1=[C]C(=[C][C]=[C]1)F)OC1=[C][C]=C([C]=[C]1)C(=O)N	=
[C](C1=[C]C(=[C][C]=N1)C1=[C][C]=[C]C(=[C]1)F)OC1=[C][C]=C([C]=[C]1)C(=O)N	=
[C](C1=[C]C(=[C][C]=N1)C1=[C][C]=[C]C(=[C]1)F)OC1=[C][C]=C([C]=[C]1)C(=O)N	=
[C](C1=[C]C(=[C][C]=N1)C1=[C][C]=[C]C(=[C]1)F)OC1=[C][C]=C([C]=[C]1)C(=O)N	="
2740;"C(F)(F)(C1=[C]C(=[C]C(=[C]1)O[C]1[C]N[C]1)F)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
C(F)(F)(C1=[C]C(=[C]C(=[C]1)O[C]1[C]N[C]1)F)[C]NC1=[C][C]=C([C]=N1)C(=O)N	=
C(F)(F)(C1=[C]C(=[C]C(=[C]1)F)O[C]1[C]N[C]1)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
C(F)(F)(C1=[C]C(=[C]C(=[C]1)F)O[C]1[C]N[C]1)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
C(F)(F)(C1=[C]C(=[C]C(=[C]1)F)O[C]1[C]N[C]1)[C]NC1=N[C]=C([C]=[C]1)C(=O)N	=
C(F)(F)(C1=[C]C(=[C]C(=[C]1)F)O[C]1[C]N[C]1)[C]NC1=[C][C]=C([C]=N1)C(=O)N	=
C(F)(F)(C1=[C]C(=[C]C(=[C]1)F)O[C]1[C]N[C]1)[C]NC1=[C][C]=C([C]=N1)C(=O)N	=
C(F)(F)(C1=[C]C(=[C]C(=[C]1)F)O[C]1[C]N[C]1)[C]NC1=[C][C]=C([C]=N1)C(=O)N	=
C(F)(F)(C1=[C]C(=[C]C(=[C]1)F)O[C]1[C]N[C]1)[C]NC1=[C][C]=C([C]=N1)C(=O)N	="
6500;"[C](NC1=N[C]=C([C]=[C]1)C(=O)N)C1=[C]C(=[C]C(=[C]1)F)C1=[C][C]=[C][C]=N1	=
[C](NC1=N[C]=C([C]=[C]1)C(=O)N)C1=[C]C(=[C]C(=[C]1)C1=N[C]=[C][C]=[C]1)F	=
[C](NC1=[C][C]=C([C]=N1)C(=O)N)C1=[C]C(=[C]C(=[C]1)F)C1=N[C]=[C][C]=[C]1	=
[C](NC1=[C][C]=C([C]=N1)C(=O)N)C1=[C]C(=[C]C(=[C]1)C1=N[C]=[C][C]=[C]1)F	=
[C](NC1=N[C]=C([C]=[C]1)C(=O)N)C1=[C]C(=[C]C(=[C]1)F)C1=[C][C]=[C][C]=N1	=
[C](NC1=[C][C]=C([C]=N1)C(=O)N)C1=[C]C(=[C]C(=[C]1)F)C1=N[C]=[C][C]=[C]1	=
[C](NC1=N[C]=C([C]=[C]1)C(=O)N)C1=[C]C(=[C]C(=[C]1)F)C1=[C][C]=[C][C]=N1	=
[C](NC1=N[C]=C([C]=[C]1)C(=O)N)C1=[C]C(=[C]C(=[C]1)F)C1=N[C]=[C][C]=[C]1	=
[C](NC1=[C][C]=C([C]=N1)C(=O)N)C1=[C]C(=[C]C(=[C]1)C1=[C][C]=[C][C]=N1)F	="
814;"C1(=[C][C]=[C]C(=[C]1)N[C]1[C]N(C(=O)N)[C]1)C(F)(F)[C]NC1=N[C]=C([C])[C]=N1	=
C1(=[C][C]=[C]C(=[C]1)N[C]1[C]N(C(=O)N)[C]1)C(F)(F)[C]NC1=N[C]=C([C])[C]=N1	=
C1(=[C]C(=[C][C]=[C]1)N[C]1[C]N(C(=O)N)[C]1)C(F)(F)[C]NC1=N[C]=C([C])[C]=N1	=
C1(=[C]C(=[C][C]=[C]1)N[C]1[C]N(C(=O)N)[C]1)C(F)(F)[C]NC1=N[C]=C([C])[C]=N1	=
C1(=[C]C(=[C][C]=[C]1)N[C]1[C]N(C(=O)N)[C]1)C(F)(F)[C]NC1=N[C]=C([C])[C]=N1	=
C1(=[C]C(=[C][C]=[C]1)N[C]1[C]N(C(=O)N)[C]1)C(F)(F)[C]NC1=N[C]=C([C])[C]=N1	=
C1(=[C]C(=[C][C]=[C]1)N[C]1[C]N(C(=O)N)[C]1)C(F)(F)[C]NC1=N[C]=C([C])[C]=N1	=
C1(=[C][C]=[C]C(=[C]1)N[C]1[C]N(C(=O)N)[C]1)C(F)(F)[C]NC1=N[C]=C([C])[C]=N1	="
6616;"C1([C][C]1)(NC1=N[C]=C([C]=[C]1)C(=O)N)C1=[C][C]=[C]C(=[C]1)C1=[C]N=C([C]=[C]1)C#N	=
C1([C][C]1)(NC1=N[C]=C([C]=[C]1)C(=O)N)C1=[C]C(=[C][C]=[C]1)C1=[C][C]=C(N=[C]1)C#N	=
C1([C][C]1)(NC1=N[C]=C([C]=[C]1)C(=O)N)C1=[C][C]=[C]C(=[C]1)C1=[C][C]=C(N=[C]1)C#N	=
C1([C][C]1)(NC1=N[C]=C([C]=[C]1)C(=O)N)C1=[C][C]=[C]C(=[C]1)C1=[C][C]=C(N=[C]1)C#N	=
C1([C][C]1)(NC1=[C][C]=C([C]=N1)C(=O)N)C1=[C]C(=[C][C]=[C]1)C1=[C][C]=C(N=[C]1)C#N	=
C1([C][C]1)(NC1=[C][C]=C([C]=N1)C(=O)N)C1=[C]C(=[C][C]=[C]1)C1=[C]N=C([C]=[C]1)C#N	=
C1([C][C]1)(NC1=[C][C]=C([C]=N1)C(=O)N)C1=[C][C]=[C]C(=[C]1)C1=[C]N=C([C]=[C]1)C#N	="
4600;"C1([C][C]1)(NC1=[C][C]=C([C]=N1)C(=O)N)C1=[C][C]=[C]C(=[C]1)C1=[C][C]=C(F)N=[C]1	=
C1([C][C]1)(NC1=[C][C]=C([C]=N1)C(=O)N)C1=[C]C(=[C][C]=[C]1)C1=[C][C]=C(F)N=[C]1	=
C1([C][C]1)(NC1=N[C]=C([C]=[C]1)C(=O)N)C1=[C]C(=[C][C]=[C]1)C1=[C][C]=C(F)N=[C]1	=
C1([C][C]1)(NC1=N[C]=C([C]=[C]1)C(=O)N)C1=[C]C(=[C][C]=[C]1)C1=[C][C]=C(F)N=[C]1	=
