Code,Score
4810,-10.402
3946,-10.182
3246,-10.005
2416,-9.99
5566,-9.948
7978,-9.942
4252,-9.927
4162,-9.925
6954,-9.923
3664,-9.918
6738,-9.899
3732,-9.886
4632,-9.862
4348,-9.86
1122,-9.859
1450,-9.841
1678,-9.838
8032,-9.832
5392,-9.823
3388,-9.813
7120,-9.795
2076,-9.792
3964,-9.785
483,-9.776
1390,-9.763
3898,-9.761
4650,-9.749
7926,-9.74
118,-9.739
7822,-9.737
5318,-9.736
6256,-9.727
9006,-9.722
4924,-9.699
4360,-9.69
4720,-9.689
5044,-9.685
760,-9.675
6286,-9.674
6544,-9.671
787,-9.667
8988,-9.665
1418,-9.662
1900,-9.655
5386,-9.651
4882,-9.651
6736,-9.642
3432,-9.64
8506,-9.631
4166,-9.63
2740,-9.615
258,-9.608
3480,-9.602
2112,-9.602
2344,-9.6
7042,-9.599
8752,-9.596
5856,-9.595
7246,-9.592
7868,-9.591
2998,-9.591
3754,-9.59
6760,-9.589
3928,-9.574
9094,-9.569
9060,-9.567
4794,-9.567
2584,-9.562
8088,-9.561
6556,-9.554
1216,-9.553
8124,-9.549
1954,-9.544
4074,-9.543
8198,-9.543
3134,-9.543
2494,-9.542
1750,-9.542
6484,-9.541
3394,-9.541
5836,-9.528
7906,-9.526
3570,-9.525
4778,-9.522
8358,-9.522
7134,-9.514
1813,-9.51
4142,-9.505
2373,-9.504
2116,-9.496
3874,-9.487
1382,-9.487
4708,-9.486
6234,-9.482
8068,-9.474
5060,-9.471
3862,-9.469
7530,-9.469
4244,-9.464
586,-9.462
8286,-9.461
3534,-9.46
9132,-9.456
7744,-9.454
4600,-9.453
5158,-9.45
7336,-9.449
4078,-9.448
5674,-9.445
7024,-9.444
6558,-9.44
6526,-9.438
7456,-9.436
7958,-9.435
6126,-9.434
6756,-9.428
6130,-9.425
8938,-9.423
4996,-9.423
244,-9.422
8574,-9.421
8484,-9.42
3016,-9.419
1128,-9.414
2560,-9.413
2263,-9.412
7674,-9.412
7238,-9.407
1220,-9.406
7476,-9.404
3088,-9.4
7044,-9.396
2949,-9.392
6122,-9.391
7010,-9.39
5104,-9.388
4780,-9.388
8383,-9.388
8450,-9.386
3790,-9.383
2962,-9.381
2512,-9.379
5928,-9.378
4562,-9.377
382,-9.374
8007,-9.373
2278,-9.368
5278,-9.366
6778,-9.358
546,-9.356
8538,-9.356
3404,-9.351
6004,-9.35
7996,-9.349
9168,-9.348
2686,-9.346
814,-9.345
1797,-9.345
7818,-9.345
4294,-9.343
6436,-9.342
5086,-9.341
8968,-9.341
7916,-9.338
3291,-9.335
1131,-9.335
4474,-9.334
8812,-9.333
2164,-9.332
3372,-9.332
3194,-9.332
3772,-9.332
848,-9.329
5908,-9.328
8770,-9.327
4684,-9.325
4324,-9.325
2668,-9.322
2850,-9.322
4290,-9.321
4902,-9.319
3106,-9.318
7440,-9.316
3008,-9.315
1630,-9.315
4504,-9.314
568,-9.311
2193,-9.311
2450,-9.311
2462,-9.31
6596,-9.308
1545,-9.308
8038,-9.307
7750,-9.305
3426,-9.301
9154,-9.299
4020,-9.299
7836,-9.298
5388,-9.298
2551,-9.297
5172,-9.296
1804,-9.296
226,-9.295
5140,-9.294
6724,-9.293
2602,-9.293
8570,-9.292
4756,-9.292
6176,-9.291
550,-9.29
5906,-9.29
676,-9.289
4240,-9.287
4438,-9.286
3138,-9.286
3700,-9.286
8754,-9.285
2188,-9.284
6576,-9.284
7942,-9.284
1054,-9.283
1635,-9.283
6464,-9.282
4724,-9.282
9028,-9.282
5590,-9.281
1896,-9.28
195,-9.279
